InvoiceId,Operation,DomainName,Price,Date
,REGISTER_DOMAIN,xxxxxxx.com,14,2025-02-24T14:05:24.754Z
,REGISTER_DOMAIN,xxxxxxx.org,14,2025-02-24T14:52:14.530Z
